"Date","Price","Open","High","Low","Vol.","Change %"
"05/13/2025","170.10","170.10","171.80","169.80","25.25K","-0.47%"
"05/12/2025","170.90","173.50","174.00","169.50","9.36K","0.18%"
"05/08/2025","170.60","167.00","171.90","167.00","28.81K","2.59%"
"05/07/2025","166.30","171.70","171.70","165.20","78.35K","-4.54%"
"05/06/2025","174.20","174.10","175.00","172.30","31.47K","-0.23%"
"05/05/2025","174.60","171.50","175.80","171.20","44.26K","2.71%"
"05/04/2025","170.00","172.10","172.10","167.00","46.98K","-1.22%"
"04/30/2025","172.10","178.00","179.80","170.20","50.79K","-4.65%"
"04/29/2025","180.50","181.60","184.10","180.00","26.80K","-0.61%"
"04/28/2025","181.60","184.70","188.70","180.50","29.42K","-1.63%"
"04/27/2025","184.60","182.40","186.80","177.30","58.59K","1.21%"
"04/24/2025","182.40","187.60","189.90","181.20","49.46K","-1.67%"
"04/23/2025","185.50","194.50","195.60","185.00","104.71K","-4.23%"
"04/22/2025","193.70","197.00","197.50","192.50","68.93K","-1.48%"
"04/21/2025","196.60","195.20","199.00","193.50","79.51K","2.02%"
"04/20/2025","192.70","195.00","200.00","184.20","217.11K","-0.98%"
"04/17/2025","194.60","203.00","204.40","191.10","196.78K","-4.61%"
"04/16/2025","204.00","207.60","207.60","202.50","177.73K","-0.92%"
"04/15/2025","205.90","202.00","207.00","201.00","238.68K","2.29%"
"04/13/2025","201.30","208.50","208.80","200.20","192.36K","-2.89%"
"04/10/2025","207.30","210.00","214.30","205.10","281.78K","-0.86%"
"04/09/2025","209.10","201.80","209.80","199.30","661.60K","4.19%"
"04/08/2025","200.70","201.80","204.90","199.10","392.65K","-0.59%"
"04/07/2025","201.90","199.40","207.80","198.90","715.50K","2.23%"
"04/06/2025","197.50","180.10","199.00","180.10","259.62K","7.40%"
"03/27/2025","183.90","181.90","185.00","179.40","160.29K","1.49%"
"03/25/2025","181.20","180.00","182.30","179.00","155.61K","0.72%"
"03/24/2025","179.90","178.30","182.00","178.10","177.28K","0.90%"
"03/23/2025","178.30","173.80","179.50","173.10","171.64K","2.59%"
"03/20/2025","173.80","170.70","174.10","170.70","121.04K","1.82%"
"03/19/2025","170.70","169.00","174.90","167.70","95.81K","1.43%"
"03/18/2025","168.30","165.30","168.90","165.30","36.42K","0.96%"
"03/17/2025","166.70","165.60","168.50","165.50","31.71K","-0.89%"
"03/16/2025","168.20","166.80","169.00","165.00","37.39K","0.72%"
"03/13/2025","167.00","167.00","167.40","164.70","32.20K","-0.18%"
"03/12/2025","167.30","163.20","168.30","161.10","32.55K","2.51%"
"03/11/2025","163.20","167.30","170.90","160.00","71.52K","-2.80%"
"03/10/2025","167.90","164.10","169.00","164.00","49.07K","2.32%"
"03/09/2025","164.10","172.80","172.80","164.00","33.69K","-0.85%"
"03/06/2025","165.50","167.00","169.00","165.20","15.95K","-1.25%"
"03/05/2025","167.60","168.00","168.40","165.00","30.33K","0.72%"
"03/04/2025","166.40","169.80","169.80","166.00","48.24K","-1.30%"
"03/03/2025","168.60","167.00","174.00","167.00","105.09K","-0.59%"
"03/02/2025","169.60","159.70","171.90","159.70","191.56K","6.53%"
"02/27/2025","159.20","156.50","159.50","156.50","57.81K","1.92%"
"02/26/2025","156.20","155.00","158.80","155.00","69.10K","0.51%"
"02/25/2025","155.40","155.70","156.00","155.00","26.99K","0.13%"
"02/24/2025","155.20","153.10","155.90","153.10","67.99K","1.37%"
"02/23/2025","153.10","151.90","153.30","151.90","30.81K","0.79%"
"02/20/2025","151.90","150.50","153.00","150.50","48.83K","-0.59%"
"02/19/2025","152.80","152.10","153.80","152.00","50.24K","-0.07%"
"02/18/2025","152.90","153.10","153.80","152.90","53.75K","-0.07%"
"02/17/2025","153.00","151.20","153.00","151.20","49.69K","0.26%"
"02/16/2025","152.60","152.00","153.30","152.00","61.46K","-0.46%"
"02/13/2025","153.30","153.80","154.00","152.00","73.38K","-0.39%"
"02/12/2025","153.90","153.00","154.70","151.20","71.82K","0.33%"
"02/11/2025","153.40","151.80","154.90","151.80","108.34K","1.19%"
