"Date","Price","Open","High","Low","Vol.","Change %"
"05/13/2025","86.60","91.80","91.80","85.80","295.38K","-4.31%"
"05/12/2025","90.50","93.00","93.00","89.90","337.02K","-2.48%"
"05/08/2025","92.80","92.00","93.60","90.70","762.14K","3.23%"
"05/07/2025","89.90","91.80","92.20","89.00","968.01K","-3.13%"
"05/06/2025","92.80","94.80","95.40","92.30","382.36K","-2.11%"
"05/05/2025","94.80","93.90","96.20","92.60","827.10K","1.39%"
"05/04/2025","93.50","92.00","94.40","91.30","403.41K","1.85%"
"04/30/2025","91.80","92.40","93.50","91.00","1.02M","-0.33%"
"04/29/2025","92.10","91.40","93.80","90.90","594.68K","0.88%"
"04/28/2025","91.30","94.80","94.80","90.90","418.52K","-2.77%"
"04/27/2025","93.90","93.90","94.90","90.00","516.74K","2.62%"
"04/24/2025","91.50","94.50","96.50","90.60","616.05K","-4.19%"
"04/23/2025","95.50","95.60","96.30","95.00","487.02K","0.74%"
"04/22/2025","94.80","96.00","96.40","94.40","641.48K","-1.76%"
"04/21/2025","96.50","98.00","99.70","95.70","675.19K","-0.92%"
"04/20/2025","97.40","95.90","98.30","94.30","737.11K","2.31%"
"04/17/2025","95.20","95.00","97.00","94.80","861.02K","0.21%"
"04/16/2025","95.00","99.30","100.80","94.50","889.32K","-4.33%"
"04/15/2025","99.30","101.20","103.40","98.20","1.67M","-2.55%"
"04/13/2025","101.90","106.20","107.30","100.00","969.74K","-3.23%"
"04/10/2025","105.30","107.20","107.20","102.00","1.66M","-0.09%"
"04/09/2025","105.40","110.30","112.50","104.50","1.55M","-3.48%"
"04/08/2025","109.20","107.50","111.80","105.90","2.21M","1.39%"
"04/07/2025","107.70","110.90","113.30","106.70","2.45M","-1.01%"
"04/06/2025","108.80","98.00","109.00","93.30","2.99M","9.79%"
"03/27/2025","99.10","101.40","101.90","97.90","1.53M","-2.46%"
"03/25/2025","101.60","102.00","104.40","100.50","1.90M","-0.29%"
"03/24/2025","101.90","95.00","104.30","94.90","3.11M","7.38%"
"03/23/2025","94.90","87.00","95.90","87.00","2.25M","8.83%"
"03/20/2025","87.20","83.00","88.20","83.00","1.47M","5.06%"
"03/19/2025","83.00","81.50","83.50","80.90","639.94K","2.60%"
"03/18/2025","80.90","81.40","81.90","80.60","138.47K","-1.82%"
"03/17/2025","82.40","81.50","82.70","80.60","690.75K","1.48%"
"03/16/2025","81.20","81.00","82.50","80.60","156.04K","0.12%"
"03/13/2025","81.10","81.90","81.90","79.90","648.70K","-0.25%"
"03/12/2025","81.30","81.00","81.50","80.80","577.05K","0.37%"
"03/11/2025","81.00","81.00","82.80","80.60","137.58K","0.00%"
"03/10/2025","81.00","79.00","81.50","78.20","394.39K","3.18%"
"03/09/2025","78.50","78.00","79.00","78.00","74.73K","0.26%"
"03/06/2025","78.30","79.80","79.80","78.10","43.03K","-1.51%"
"03/05/2025","79.50","79.00","79.70","78.20","135.17K","1.53%"
"03/04/2025","78.30","79.90","79.90","78.00","65.62K","-0.89%"
"03/03/2025","79.00","79.40","79.80","78.80","277.65K","-0.25%"
"03/02/2025","79.20","78.60","80.00","78.40","89.96K","0.76%"
"02/27/2025","78.60","80.80","80.80","78.30","352.03K","-2.12%"
"02/26/2025","80.30","80.40","81.00","78.90","1.19M","0.50%"
"02/25/2025","79.90","78.80","82.90","77.90","909.98K","1.78%"
"02/24/2025","78.50","78.60","78.70","77.20","232.06K","0.90%"
"02/23/2025","77.80","77.00","78.20","76.60","168.96K","1.43%"
"02/20/2025","76.70","77.20","77.50","76.40","56.33K","0.13%"
"02/19/2025","76.60","78.00","78.20","76.20","79.36K","-1.79%"
"02/18/2025","78.00","78.10","78.50","77.40","172.66K","0.26%"
"02/17/2025","77.80","76.70","78.10","76.50","183.81K","1.70%"
"02/16/2025","76.50","76.90","76.90","76.30","136.90K","0.13%"
"02/13/2025","76.40","76.40","77.10","76.20","81.49K","-0.26%"
"02/12/2025","76.60","76.60","77.50","76.20","49.33K","0.00%"
"02/11/2025","76.60","76.20","77.80","76.20","93.15K","0.52%"
"02/10/2025","76.20","77.90","78.00","75.50","102.03K","-1.30%"
"02/09/2025","77.20","77.80","77.80","76.00","123.07K","0.13%"
"02/06/2025","77.10","78.50","79.30","77.00","125.63K","-2.03%"
"02/05/2025","78.70","78.50","79.00","77.80","314.55K","0.51%"
"02/04/2025","78.30","77.00","78.70","76.80","833.14K","1.95%"
"02/03/2025","76.80","76.80","77.00","76.30","142.29K","0.66%"
"02/02/2025","76.30","75.30","76.80","75.30","185.84K","0.93%"
"01/30/2025","75.60","76.00","76.20","75.20","253.21K","0.53%"
"01/29/2025","75.20","75.00","76.50","75.00","585.56K","-1.83%"
"01/28/2025","76.60","75.30","77.20","75.30","165.08K","1.46%"
"01/27/2025","75.50","75.40","75.70","75.00","125.01K","0.53%"
"01/26/2025","75.10","78.40","78.40","74.80","170.65K","-2.21%"
"01/23/2025","76.80","76.60","79.30","76.50","124.05K","-1.92%"
"01/22/2025","78.30","78.00","78.70","77.60","461.96K","-0.63%"
"01/21/2025","78.80","77.30","79.80","77.30","825.04K","2.20%"
"01/20/2025","77.10","75.40","77.40","75.40","264.24K","2.94%"
"01/19/2025","74.90","74.90","76.00","74.80","173.54K","-0.27%"
"01/16/2025","75.10","76.70","76.70","74.90","188.89K","-1.44%"
"01/15/2025","76.20","76.00","76.80","75.30","207.23K","0.79%"
"01/14/2025","75.60","76.50","76.50","74.90","406.34K","0.40%"
"01/13/2025","75.30","77.70","78.10","74.50","260.01K","-2.96%"
"01/12/2025","77.60","78.20","78.50","77.50","190.90K","-0.77%"
"01/09/2025","78.20","78.50","78.80","78.00","566.54K","-0.38%"
"01/08/2025","78.50","79.10","79.10","78.20","285.22K","-0.63%"
"01/07/2025","79.00","80.40","80.40","78.80","500.22K","-0.88%"
"01/06/2025","79.70","79.00","80.20","78.30","254.33K","1.01%"
"01/05/2025","78.90","78.80","80.30","78.70","163.15K","0.90%"
"01/02/2025","78.20","81.60","81.60","77.70","447.96K","-3.69%"
"01/01/2025","81.20","82.40","82.40","81.00","353.30K","-0.49%"
"12/30/2024","81.60","82.40","82.70","81.00","493.93K","-0.61%"
"12/29/2024","82.10","82.20","83.20","81.80","508.84K","0.86%"
"12/26/2024","81.40","82.30","82.30","80.30","230.01K","0.49%"
"12/24/2024","81.00","82.50","83.70","80.40","454.70K","-0.74%"
"12/23/2024","81.60","83.30","84.00","81.00","329.18K","-1.81%"
"12/22/2024","83.10","85.40","85.80","82.80","279.80K","-2.24%"
"12/19/2024","85.00","85.80","85.80","84.70","430.55K","0.00%"
"12/18/2024","85.00","85.00","86.20","84.20","944.99K","0.59%"
"12/17/2024","84.50","84.00","87.50","84.00","861.22K","0.36%"
"12/15/2024","84.20","84.70","85.30","83.50","425.95K","-0.12%"
"12/12/2024","84.30","86.00","86.50","83.70","608.85K","-2.43%"
"12/11/2024","86.40","85.40","88.10","84.10","1.13M","0.93%"
"12/10/2024","85.60","84.00","86.00","82.90","1.21M","2.51%"
"12/09/2024","83.50","83.00","83.80","83.00","402.54K","0.72%"
"12/08/2024","82.90","82.10","83.40","81.40","446.99K","0.97%"
"12/05/2024","82.10","83.80","83.80","81.70","489.87K","-1.32%"
"12/04/2024","83.20","81.50","84.20","81.50","579.54K","0.73%"
"12/03/2024","82.60","83.50","83.80","81.00","644.56K","-0.36%"
"12/02/2024","82.90","84.50","85.80","82.40","755.86K","-2.36%"
"12/01/2024","84.90","87.00","87.40","84.20","499.16K","-2.30%"
"11/28/2024","86.90","84.20","87.70","84.20","992.60K","3.33%"
"11/27/2024","84.10","81.00","84.80","81.00","585.01K","4.99%"
"11/26/2024","80.10","78.50","80.90","77.50","963.32K","-0.99%"
"11/24/2024","80.90","81.00","82.40","79.40","1.00M","1.38%"
"11/21/2024","79.80","82.50","83.00","79.60","1.21M","-3.16%"
