"Date","Price","Open","High","Low","Vol.","Change %"
"05/13/2025","209.30","212.40","212.70","208.00","218.71K","-1.46%"
"05/12/2025","212.40","214.00","214.00","212.10","173.41K","-0.38%"
"05/08/2025","213.20","213.20","213.80","212.30","125.22K","0.19%"
"05/07/2025","212.80","214.00","214.00","212.50","361.70K","-0.47%"
"05/06/2025","213.80","214.00","214.20","213.50","327.26K","-0.09%"
"05/05/2025","214.00","214.30","214.90","213.90","228.99K","-0.09%"
"05/04/2025","214.20","214.20","215.50","213.90","128.94K","0.05%"
"04/30/2025","214.10","215.60","216.00","213.90","110.42K","-0.42%"
"04/29/2025","215.00","215.10","215.80","214.60","123.99K","-0.19%"
"04/28/2025","215.40","216.30","216.30","215.10","207.95K","-0.42%"
"04/27/2025","216.30","215.30","216.70","214.00","85.68K","0.46%"
"04/24/2025","215.30","214.70","215.80","214.40","192.10K","0.47%"
"04/23/2025","214.30","214.90","215.00","214.10","67.72K","0.14%"
"04/22/2025","214.00","215.40","215.40","214.00","145.30K","-0.14%"
"04/21/2025","214.30","214.40","216.00","214.10","119.68K","-0.05%"
"04/20/2025","214.40","215.50","216.00","214.00","133.50K","-0.42%"
"04/17/2025","215.30","217.90","217.90","215.00","61.18K","-0.05%"
"04/16/2025","215.40","217.40","217.40","215.00","361.44K","-0.92%"
"04/15/2025","217.40","219.00","219.00","216.00","179.40K","-0.55%"
"04/13/2025","218.60","218.90","218.90","218.10","133.70K","-0.18%"
"04/10/2025","219.00","217.00","219.80","216.90","334.89K","1.06%"
"04/09/2025","216.70","217.00","217.00","216.20","171.79K","0.23%"
"04/08/2025","216.20","217.80","218.10","216.00","412.29K","-0.73%"
"04/07/2025","217.80","220.00","220.00","217.00","551.51K","-1.00%"
"04/06/2025","220.00","219.70","220.00","219.00","517.37K","-0.05%"
"03/27/2025","220.10","220.00","220.30","219.50","280.27K","0.18%"
"03/25/2025","219.70","220.10","220.40","219.50","393.35K","-0.14%"
"03/24/2025","220.00","220.00","220.40","219.50","560.71K","0.18%"
"03/23/2025","219.60","220.70","220.70","219.50","507.09K","-0.23%"
"03/20/2025","220.10","220.10","220.40","219.90","423.81K","-0.14%"
"03/19/2025","220.40","221.00","221.00","220.10","486.15K","-0.09%"
"03/18/2025","220.60","220.00","221.00","219.90","670.65K","0.32%"
"03/17/2025","219.90","220.50","221.00","219.80","975.50K","-0.23%"
"03/16/2025","220.40","220.00","221.80","220.00","633.57K","0.23%"
"03/13/2025","219.90","218.90","220.50","218.90","445.81K","0.46%"
"03/12/2025","218.90","217.50","219.30","217.50","197.38K","0.55%"
"03/11/2025","217.70","217.50","218.10","217.50","448.88K","0.09%"
"03/10/2025","217.50","217.20","218.00","217.00","262.54K","0.00%"
"03/09/2025","217.50","217.20","217.70","217.20","162.85K","0.00%"
"03/06/2025","217.50","217.00","217.80","217.00","138.19K","0.23%"
"03/05/2025","217.00","217.60","217.60","216.90","319.86K","0.05%"
"03/04/2025","216.90","217.50","217.50","216.00","197.91K","-0.09%"
"03/03/2025","217.10","216.80","217.50","216.60","165.43K","0.37%"
"03/02/2025","216.30","216.60","216.90","216.00","185.13K","-0.09%"
"02/27/2025","216.50","216.40","216.80","216.10","125.99K","0.14%"
"02/26/2025","216.20","216.00","216.60","215.90","214.00K","0.09%"
"02/25/2025","216.00","215.80","216.10","215.70","257.13K","0.09%"
"02/24/2025","215.80","216.60","216.60","215.60","572.28K","-0.14%"
"02/23/2025","216.10","215.90","216.50","215.70","157.38K","0.09%"
"02/20/2025","215.90","214.50","216.40","210.00","284.86K","-0.05%"
"02/19/2025","216.00","215.60","217.00","215.30","298.99K","0.51%"
"02/18/2025","214.90","216.40","216.40","214.60","451.12K","-0.23%"
"02/17/2025","215.40","215.80","216.80","215.10","212.73K","-0.19%"
"02/16/2025","215.80","215.00","216.00","215.00","123.96K","0.28%"
